ta_abbr,tech_area,iso3,country,priority
p3,Antimicrobial Resistance,BEN,Benin,Consider animal health and the environment in the National Antimicrobial Resistant Pathogen Surveillance Plan and Infection Prevention and Control.
p3,Antimicrobial Resistance,BEN,Benin,Develop an antimicrobial management plan.
p3,Antimicrobial Resistance,BEN,Benin,"Strengthen the capacity of national reference laboratories (human health, animal health) for the detection of antimicrobial resistance."
p4,Zoonotic Disease,BEN,Benin,Monitor the national plan for the fight against priority Zoonoses (DEP) and regularly update the contingency plans and control plans developed.
p4,Zoonotic Disease,BEN,Benin,Develop a public-private partnership to meet the needs of veterinary cadres in the health system.
p4,Zoonotic Disease,BEN,Benin,Develop and implement a diploma continuing education plan in the field of field epidemiology.
p4,Zoonotic Disease,BEN,Benin,Establish a mechanism for exchange between veterinary health services and human health services for better management of zoonoses.
p5,Food Safety,BEN,Benin,Design by ministerial decree a national reference laboratory and develop standard operating procedures (SOPs) and standard operating procedures (SOPs) to be applied to any suspect case of food poisoning.
p5,Food Safety,BEN,Benin,"Under the auspices of the DNSP, identify multidisciplinary local teams (peripheral, intermediate and central) trained in the investigation of food-related disease outbreaks."
p5,Food Safety,BEN,Benin,"Develop and implement a 10-year plan for food safety control management (laboratory, human and animal health structure, HS and SA focal points, sociologists and traditional communicators)."
p6,Biosafety and Biosecurity,BEN,Benin,"Develop and implement a national plan for biological safety and security involving cross-sectoral synergy (human, animal, environmental) with the support and endorsement of the government as a whole (DNSP)."
p6,Biosafety and Biosecurity,BEN,Benin,"Develop, validate and apply standard operating procedures for each class of pathogens (with an up-to-date registry and inventory) within structures that store or handle hazardous pathogens and toxins (DNSP)."
p7,Immunization,BEN,Benin,"Provide regular quality control (DPMED, ANV-SSP and DNSP)."
p7,Immunization,BEN,Benin,Develop advocacy with the authorities to gradually increase the financial contribution of the State in the budget of the national immunization plan in order to preserve and sustain the gains.
p7,Immunization,BEN,Benin,Improve the synergy of action between the health sector and the animal sector.
p7,Immunization,BEN,Benin,Expand the delivery of vaccines to zoonoses (DNSP).
p7,Immunization,BEN,Benin,Integrate the animal sector into the next CMAP 2019-2023 plan.
d1,National Laboratory System,BEN,Benin,Strengthen the operational capacity of laboratories in particular by equipping them with qualified and stable staff.
d1,National Laboratory System,BEN,Benin,Create a national operational quality control committee.
d1,National Laboratory System,BEN,Benin,Establish a national quality assurance program for central laboratories.
d1,National Laboratory System,BEN,Benin,Exchange initially to seek the mutualization of material and human resources with human and animal health on advanced technologies.
d2,Real Time Surveillance,BEN,Benin,Put in place a structured system for monitoring events that could threaten public health.
d2,Real Time Surveillance,BEN,Benin,Operate the interoperable and interconnected real-time electronic notification system.
d2,Real Time Surveillance,BEN,Benin,Ensure the financing of the internet connection for a prompt and complete transmission of surveillance data.
d2,Real Time Surveillance,BEN,Benin,Produce and disseminate systematically newsletters and monitoring reports.
d2,Real Time Surveillance,BEN,Benin,Strengthen the mechanism of formal exchanges between animal health and human health.
d3,Reporting,BEN,Benin,Establish a formal mechanism for the National IHR Focal Point and the WHO and OIE Focal Point to Exchange Information (RPFN).
d3,Reporting,BEN,Benin,"Overall, the reporting capacity remains to be strengthened by the definition of the terms of reference of its members and the establishment of a reporting mechanism and procedures for WHO, OIE and FAO."
d3,Reporting,BEN,Benin,"Develop standard operating procedures for approval and notification for any public health emergency of potential international concern to WHO, OIE, and FAO (DNSP, DE)."
d4,Workforce Development,BEN,Benin,Strengthen human resources by providing for the recruitment of specialists as part of the implementation of the IHR at the next recruitment.
d4,Workforce Development,BEN,Benin,Develop integrated motivation strategies for all staff involved in the IHR (2005).
d4,Workforce Development,BEN,Benin,Continue training of field epidemiologists by setting up the intermediate level of the FETP program.
r1,Preparedness,BEN,Benin,Develop a multi-sector national public health emergency preparedness and response plan to ensure the core capacity required under the IHR
r1,Preparedness,BEN,Benin,Advocate to strengthen the budget line for the preparation and management of health emergencies.
r1,Preparedness,BEN,Benin,"Develop a plan for the management and distribution of national resources (human, material and financial resources) on the basis of the available evaluation"
r2,Emergency Response Operations,BEN,Benin,Support the DNSP by providing financial resources to operationalize the COUS.
r2,Emergency Response Operations,BEN,Benin,Harmonize between PFNRSI and COUS members.
r2,Emergency Response Operations,BEN,Benin,Identify and train the staff required for the operation of the COUS.
r2,Emergency Response Operations,BEN,Benin,"Develop the norms, procedures and legal texts to govern the operation of the COUS."
r3,Linking Public Health and Security Authorities,BEN,Benin,Develop standard written procedures or agreements for the coordination of joint action in the event of a public health emergency.
r3,Linking Public Health and Security Authorities,BEN,Benin,Develop a memorandum of understanding or other agreement (protocol) that must exist between the public health sector and the security authorities in the country.
r3,Linking Public Health and Security Authorities,BEN,Benin,Put in place regulatory and legal provisions for the management of cases of emergency health or the quarantine of these cases at the country level.
r4,Medical Countermeasures and Personnel Deployment,BEN,Benin,"Develop an integrated plan for sending and receiving medical facilities and personnel compatible with the system in place for emergency management (COUS, ORSEC plan, contingency plan) taking into account the regulatory, logistical, security and financial dimensions ."
r4,Medical Countermeasures and Personnel Deployment,BEN,Benin,Support the implementation of the plan developed within the different sectors.
r4,Medical Countermeasures and Personnel Deployment,BEN,Benin,Test the implementation of the plan through a practical exercise.
r5,Risk Communication,BEN,Benin,Develop and implement an Integrated Risk Communication Plan (COUS).
r5,Risk Communication,BEN,Benin,Create and strengthen the capacity of a risk communication unit at all levels of the health system.
r5,Risk Communication,BEN,Benin,Formalize mechanisms and procedures for listening and managing rumors.
poe,Points of Entry,BEN,Benin,"Finalize, test and validate standard operating procedures for entry points."
poe,Points of Entry,BEN,Benin,Build and equip health posts at the 5 priority entry points (airport and port of Cotonou and the 3 land entry points) and ensure their operation.
poe,Points of Entry,BEN,Benin,Provide training / retraining of the different actors at entry points on the implementation of the IHR.
poe,Points of Entry,BEN,Benin,Strengthen intersectoral coordination for the implementation of IHR at entry points.
poe,Points of Entry,BEN,Benin,Develop a national intervention plan for emergencies at ports of entry and develop it into specific plans for each of the designated points of entry.
ce,Chemical Emergencies,BEN,Benin,Establish and institutionalize an inter-ministerial commission bringing together all stakeholders in the field of risk management and chemical event with a budgeted action plan.
ce,Chemical Emergencies,BEN,Benin,Develop an action plan for Health and Environment as part of the implementation of the Libreville Declaration.
ce,Chemical Emergencies,BEN,Benin,"Set up a system for monitoring risks and events of chemical origin (poison control center, toxicovigilance, etc.)."
ce,Chemical Emergencies,BEN,Benin,Update the chemical profile of Benin by including the nomenclature of chemicals.
re,Radiation Emergencies,BEN,Benin,"Support advocacy to accelerate the vote on the nuclear law (MS, WHO, IAEA)."
re,Radiation Emergencies,BEN,Benin,Appoint an authority for radionuclear risk and event management and establish coordination mechanisms with the relevant sectors.
re,Radiation Emergencies,BEN,Benin,Develop and implement a national action plan and functional mechanisms for the detection and response to radiological and nuclear emergencies.
re,Radiation Emergencies,BEN,Benin,Set up a monitoring system for radionuclear events.
