"id","ta_abbr","tech_area","cntr_abbr","country","priority"
1190,"p4","Zoonotic Disease","KEN","kenya","Continuous updated mapping of animal health workforce at both national and subnational levels is essential to identify human resource gaps."
1191,"p5","Food Safety","KEN","kenya","Simulation exercises on the response and management of foodborne outbreaks should be performed, involving all government sectors at national and county level."
1192,"p6","Biosafety and Biosecurity","KEN","kenya","Strengthen collaboration and coordination efforts among key sectors."
1193,"p7","Immunization","KEN","kenya","Support the implementation of vaccine management standards, a continuous quality improvement process."
1194,"d1","National Laboratory System","KEN","kenya","Develop quality management system mechanism for point-of-care testing, including quality indicators for point-of-care testing and other test profiles."
1195,"d4","Workforce Development","KEN","kenya","Create a One Health workforce strategy with communication and coordination between various ministries, county and national levels, and levels of epidemiologists, and between animal and human health sectors."
1196,"r1","Preparedness","KEN","kenya","Develop multisectoral database for surge staff and experts."
1197,"r2","Emergency Response Operations","KEN","kenya","Strengthen coordination and linkages among key stakeholders at national and subnational levels to ensure timely response to various hazards, including CBRN."
1198,"r5","Risk Communication","KEN","kenya","Develop and strengthen rumour and misinformation tracking mechanism at national and subnational levels."
1199,"poe","Points of Entry","KEN","kenya","A national emergency contingency plan for points of entry should be finalized to provide overall standards and a guidance framework for points of entry to adapt to their local circumstances."
1200,"ce","Chemical Emergencies","KEN","kenya","Implement findings of the multisectoral project on Sound Chemicals Management Mainstreaming and Unintentional Persistent Organic Pollutants Reduction in Kenya (including establishing sustainable funding)."
1201,"re","Radiation Emergencies","KEN","kenya","Develop competencies in atmospheric dispersion calculation, internal dosimetry and retrospective dosimetry. Existing resources within health trusts should be used for biodosimetry assessment."
1202,"p6","Biosafety and Biosecurity","KEN","kenya","Conduct joint biorisk assessments and biorisk management trainings in regions not currently covered by CDC- United States President s Emergency Plan for AIDS Relief-funded partners."
1203,"p7","Immunization","KEN","kenya","Set up innovative approaches to link communities to service delivery and achieve equity."
1204,"d1","National Laboratory System","KEN","kenya","Strengthen the quality management system by offering external quality assurance to county and sub- county laboratories"
1205,"r1","Preparedness","KEN","kenya","Develop plans, procure and pre-position stockpiles."
1206,"r5","Risk Communication","KEN","kenya","Train the media on their role and responsibilities in health emergencies under the IHR."
1207,"poe","Points of Entry","KEN","kenya","Broader capacity-building across both human and animal health services at points of entry should be better defined and costed in the development/update of national action plans."
1208,"ce","Chemical Emergencies","KEN","kenya","Initiate a multisectoral collaborative project on sound management of chemicals for other (non- persistent organic pollutants) key chemical contaminants of concern for Kenya (including establishing sustainable funding)."
1209,"d1","National Laboratory System","KEN","kenya","The comprehensive NPHLS should draw lessons from the referral systems and procedures of vertical programmes such as polio, measles and HIV/AIDs."
1210,"p1","National legislation, Policy and Financing","KGZ","kyrgyzstan","Complete the legislative process to strengthen the NFP s capacity to fulfil its functions in accordance with an all-hazards, whole-of-government, multidisciplinary approach and improve the coverage of non-health sectors."
1211,"p2","IHR Coordination, Communication and Advocacy","KGZ","kyrgyzstan","Strengthen day-to-day IHR coordination and intersectoral links during peace time."
1212,"p3","Antimicrobial Resistance","KGZ","kyrgyzstan","In cooperation with all the relevant sectors, develop a draft multisectoral national action plan based on the Global Action Plan on Antimicrobial Resistance, covering detection, information sharing, AMR epidemiological surveillance, and controls on antibiotic use."
1213,"p4","Zoonotic Disease","KGZ","kyrgyzstan","Create a programme for the continuous development of the capabilities of veterinarians and animal health protection specialists on issues of public health and veterinary services throughout the country, including the provision of additional training/retraining needed."
1214,"p5","Food Safety","KGZ","kyrgyzstan","Develop and carry out training and ensure the availability of study materials to increase awareness in the food industry and among the public of food product safety issues, and also on HACCP for the food industry."
1215,"p6","Biosafety and Biosecurity","KGZ","kyrgyzstan","Introduce national legislation on biosafety and biosecurity and conduct a review of the legislative and regulatory framework. 22 of IHR core capacities of the Kyrgyz Republic"
1216,"p7","Immunization","KGZ","kyrgyzstan","Introduce vaccination cards for children and create an electronic immunization registry."
1217,"d1","National Laboratory System","KGZ","kyrgyzstan","Implement a quality management system in all laboratories."
1218,"d2","Real Time Surveillance","KGZ","kyrgyzstan","Resolve the issue of funding the electronic reporting system on a sustainable rather than a project basis."
1219,"d3","Reporting","KGZ","kyrgyzstan","The existing protocol for the provision of information under the IHR should also be ratified at Government level."
1220,"d4","Workforce Development","KGZ","kyrgyzstan","Extend the breadth and duration of the Doctor Deposit initiative, including national funding, in order to strengthen (public) health services in remote regions."
1221,"r1","Preparedness","KGZ","kyrgyzstan","Clarify the situation in relation to the role of the NFP, their location, tasks, responsibilities and duties."
1222,"r2","Emergency Response Operations","KGZ","kyrgyzstan","Provide regular training and retraining in emergency response methods, including for employees of key medical facilities."
1223,"r3","Linking Public Health and Security Authorities","KGZ","kyrgyzstan","Organize training for public health workers on security issues in relation to unlawful biological, chemical and radiation/nuclear events."
1224,"r4","Medical Countermeasures and Personnel Deployment","KGZ","kyrgyzstan","Develop a plan for receiving staff from outside the country s borders to implement emergency response measures, including cooperation on issuing visas and fulfilling other requirements for rapid entry into the country and arrival at the scene."
1225,"r5","Risk Communication","KGZ","kyrgyzstan","Develop a joint strategy on risk communication that involves the Ministry of Health, the Ministry for Emergencies, the Ministry for Agriculture, the veterinary service, and other relevant sectors, including those concerned with agricultural issues and animal health protection, for communication about the various hazards to public health."
1226,"poe","Points of Entry","KGZ","kyrgyzstan","Carry out consultations with WHO on the requirements for PoE designated in accordance with IHR Indicator 1B, in particular to: 1) determine the role and responsibilities provided by the status of designated PoE; and 2) verify whether the capacity at designated PoE complies with EAEU agreements on core capacity requirements in accordance with IHR."
1227,"ce","Chemical Emergencies","KGZ","kyrgyzstan","Examine and update obsolete technical regulations and methodological documents."
1228,"re","Radiation Emergencies","KGZ","kyrgyzstan","Organize technical training and develop course programmes in accordance with IAEA requirements."
1229,"p1","National legislation, Policy and Financing","KGZ","kyrgyzstan","Finalize the awaited approval of a government decree on implementation of the IHR that requires all relevant national sectors, in addition to the health sector, to proactively implement IHR at the national level, and also to complete development of the five-year action plan on IHR implementation."
1230,"p2","IHR Coordination, Communication and Advocacy","KGZ","kyrgyzstan","Give the NFP on IHR the potential to fulfil the necessary coordination functions, as well as to act as a national IHR information hub."
1231,"p3","Antimicrobial Resistance","KGZ","kyrgyzstan","Train laboratory employees and infection control staff, nurses, physicians and epidemiologists."
1232,"p4","Zoonotic Disease","KGZ","kyrgyzstan","Create a permanent system for joint planning and response to public health events related to zoonotic infections, which should involve the animal health, public health and environmental protection sectors. This should be overseen by a joint multisectoral rapid response team with the involvement of veterinary- epidemiological staff from the Ministry of Health s Disease Control and Epidemiological Surveillance Department, and from the Veterinary Inspectorate under the Kyrgyz Government."
1233,"p5","Food Safety","KGZ","kyrgyzstan","Strengthen laboratory capacity in all the laboratories of the Epidemiological Surveillance Department and the Veterinary Inspectorate involved in carrying out food product safety analysis so that they meet accreditation requirements."
1234,"p6","Biosafety and Biosecurity","KGZ","kyrgyzstan","Embed a sustainable national system of training for trainers on biosafety and biosecurity."
1235,"p7","Immunization","KGZ","kyrgyzstan","Encourage the submission of realistic information about vaccination coverage and target population groups and avoid penalizing staff for low coverage."
1236,"d1","National Laboratory System","KGZ","kyrgyzstan","Train laboratory specialists on a regular basis to protect against the negative consequences of high staff turnover."
1237,"d2","Real Time Surveillance","KGZ","kyrgyzstan","Identify mechanisms for involving private laboratories in the reporting system."
1238,"d3","Reporting","KGZ","kyrgyzstan","An exercise should be conducted on the provision of information about IHR, in order to demonstrate that the reporting system works. 34 of IHR core capacities of the Kyrgyz Republic"
1239,"d4","Workforce Development","KGZ","kyrgyzstan","Support training-of-trainers courses to strengthen the human resource capacity and share experiences among specialists."
1240,"r1","Preparedness","KGZ","kyrgyzstan","Give local health workers the opportunity to undertake preparedness training on health, both within Kyrgyzstan and abroad."
1241,"r2","Emergency Response Operations","KGZ","kyrgyzstan","Acquire expertise in emergency operations and renew equipment for use in emergencies (50% of equipment dates from Soviet times)."
1242,"r3","Linking Public Health and Security Authorities","KGZ","kyrgyzstan","Provide appropriate communication technology, equipment and means of protection for public health workers."
1243,"r4","Medical Countermeasures and Personnel Deployment","KGZ","kyrgyzstan","Carry out a command team and other operational exercises to test the plan and capacity for the rapid reception and assignment of personnel arriving from abroad."
1244,"r5","Risk Communication","KGZ","kyrgyzstan","Create a system for operational response to reports from the community of population health issues, through an internet portal or by establishing hotlines."
1245,"poe","Points of Entry","KGZ","kyrgyzstan","Create a sustainable training capacity within the country, including for training-of-trainers and work placement programmes."
1246,"ce","Chemical Emergencies","KGZ","kyrgyzstan","Strengthen national potential for rapid identification of unidentified chemicals and contaminants."
1247,"re","Radiation Emergencies","KGZ","kyrgyzstan","Ensure all interested industries and establishments make a technical contribution to the current process of planning activities for relocating tailing storage facilities."
1248,"p1","National legislation, Policy and Financing","KGZ","kyrgyzstan","Review the relevant national legislation, standard operating procedures (SOPs) and reporting protocols in the non-health sectors involved in IHR implementation (e.g. border control, transport, chemical safety, food safety, animal health protection and environmental protection) to ensure IHR obligations are fulfilled and that the NFP is integrated into intersectoral information-sharing and communication."
1249,"p2","IHR Coordination, Communication and Advocacy","KGZ","kyrgyzstan","Ensure the national non-health sectors are adequately trained in IHR procedures and the appropriate roles and responsibilities within the context of IHR."
1250,"p3","Antimicrobial Resistance","KGZ","kyrgyzstan","Designate a national reference laboratory for AMR, focusing on the human and animal health sectors. 12 of IHR core capacities of the Kyrgyz Republic"
1251,"p4","Zoonotic Disease","KGZ","kyrgyzstan","Develop and approve a strategic plan for veterinary services up to 2021."
1252,"p5","Food Safety","KGZ","kyrgyzstan","Set up a training centre for staff of the Epidemiological Surveillance Department, the Veterinary Inspectorate and the customs service for skills updating and refresher training on issues of food safety and testing. 20 of IHR core capacities of the Kyrgyz Republic"
1253,"p6","Biosafety and Biosecurity","KGZ","kyrgyzstan","Review university core curricula on laboratory work with a view to including classes on biosafety and biosecurity."
1254,"p7","Immunization","KGZ","kyrgyzstan","Consider the possibility of conducting a national seminar to discuss the data obtained during the measles outbreak, the lessons learnt and strategies to prevent outbreaks of other vaccine-preventable diseases."
1255,"d1","National Laboratory System","KGZ","kyrgyzstan","Improve the procurement process for laboratories, especially for urgent purchases in small quantities."
1256,"d2","Real Time Surveillance","KGZ","kyrgyzstan","Take measures to reduce staff turnover due to staff leaving in search of higher pay."
1257,"d3","Reporting","KGZ","kyrgyzstan","Training should be conducted, including on reporting, with institutions in other sectors with the aim of involving them in IHR implementation."
1258,"d4","Workforce Development","KGZ","kyrgyzstan","Offer rewards for qualified staff to incentivize workers to remain in roles providing (public) health services."
1259,"r1","Preparedness","KGZ","kyrgyzstan","Provide sufficient and sustainable funding for the health worker retention programme at the central, regional and district levels."
1260,"r2","Emergency Response Operations","KGZ","kyrgyzstan","Establish cooperation with neighbouring countries, including in the context of the EAEU, on emergency response, and on mechanisms of shared learning and cooperation. 42 of IHR core capacities of the Kyrgyz Republic"
1261,"r3","Linking Public Health and Security Authorities","KGZ","kyrgyzstan","Establish SOPs for the coordination of activities between public health and animal health protection specialists and the security authorities. 4"
1262,"r5","Risk Communication","KGZ","kyrgyzstan","Provide village health committees with modern means of communication."
1263,"poe","Points of Entry","KGZ","kyrgyzstan","Carry out the planned training on the development of an emergency action plan, renew the emergency action plan and publish the lessons learnt as a result of that training."
1264,"ce","Chemical Emergencies","KGZ","kyrgyzstan","Identify opportunities to extend and strengthen cooperation, communication and professional collaboration within and between departments."
1265,"re","Radiation Emergencies","KGZ","kyrgyzstan","Analyse and renew the outdated basic technical protocols and training documents."
1266,"p1","National legislation, Policy and Financing","KGZ","kyrgyzstan","Analyse EAEU legislative requirements and standards to assess conformity with IHR."
1267,"p4","Zoonotic Disease","KGZ","kyrgyzstan","Develop and implement a plan for the recruitment and training of new veterinarians compliant with Day One Competence (the minimum required competence standard), which is intended to strengthen veterinary education in Kyrgyzstan."
1268,"p5","Food Safety","KGZ","kyrgyzstan","Enter into EAEU agreements on requirements for food products and ingredients imported into the EAEU so as to be able to follow the same set of rules and standards regarding food, health and phytosanitary standards. For example, representatives of Kyrgyzstan have requested the regulator/ inspectorate not to allow imports of unfortified flour."
1269,"p6","Biosafety and Biosecurity","KGZ","kyrgyzstan","Introduce mechanisms for ensuring laboratories are complying with legislation."
1270,"p7","Immunization","KGZ","kyrgyzstan","Establish, in conjunction with interested parties, an integrated plan on public information questions and the implementation of specific strategies to reduce the occurrence of vaccine refusals and negative attitudes to vaccination."
1271,"d1","National Laboratory System","KGZ","kyrgyzstan","Increase the coordination of the work of health care laboratories with the aim of improving electronic laboratory services and intersectoral communication."
1272,"d2","Real Time Surveillance","KGZ","kyrgyzstan","Consider installing a laboratory network for electronic reporting."
1273,"d4","Workforce Development","KGZ","kyrgyzstan","Increase the number of Kyrgyz participants in the FETP programme in Kyrgyzstan and ensure State funding for students. 36 of IHR core capacities of the Kyrgyz Republic"
1274,"r1","Preparedness","KGZ","kyrgyzstan","Adopt the multi-hazard national plan for emergency preparedness and response developed by the Ministry of Health as a national normative document."
1275,"poe","Points of Entry","KGZ","kyrgyzstan","Recruit external experts for training and testing of the emergency action plan with the goal of this experience finding practical application."
1276,"ce","Chemical Emergencies","KGZ","kyrgyzstan","Develop and update a standard comprehensive list or carry out mapping of chemical hazards in the country and disseminate this information among all relevant agencies."
1277,"re","Radiation Emergencies","KGZ","kyrgyzstan","Study the experiences of model countries on the coordination and reclamation of tailing ponds."
1278,"p4","Zoonotic Disease","KGZ","kyrgyzstan","Modify the procurement policy so that the veterinary service and the Epidemiological Surveillance Department are able to acquire quickly the materials needed for disease prevention and control measures, for example, to allow them to purchase vaccines and equipment from a single supplier."
1279,"d2","Real Time Surveillance","KGZ","kyrgyzstan","Provide training and retraining of staff at all levels, including the staff who enter epidemiological surveillance data at the peripheral level."
1280,"ce","Chemical Emergencies","KGZ","kyrgyzstan","Conduct practical training on responding to chemical events."
1281,"re","Radiation Emergencies","KGZ","kyrgyzstan","Ensure that individuals located near remote alpine tailings are examined (for example, using mobile laboratories)."
1282,"p1","National legislation, Policy and Financing","LAO","lao people's democratic republic","Prepare and enact an executive instrument (e.g. decree, policy statement) to establish short-term compliance with IHR articles 31 and 32; and develop and promulgate a legal instrument to replace the short-term compliance instrument. 6 of IHR Core Capacities of the Lao People s Democratic Republic"
1283,"p2","IHR Coordination, Communication and Advocacy","LAO","lao people's democratic republic","Maintain and advance the functions of the national IHR focal point and existing IHR coordination mechanisms, including communication and information sharing on all acute public health events, coordination of IHR monitoring and evaluation such as joint external evaluation (JEE), and the annual stakeholders planning and review process as recommended in the third Asia Pacific Strategy for Emerging Diseases (APSED III)."
1284,"p3","Antimicrobial Resistance","LAO","lao people's democratic republic","Accelerate the finalization and adoption of the national action plan on AMR, and the implementation thereof, taking into consideration the following priority actions: m develop national plans for detection, surveillance and monitoring of antimicrobial use and AMR including assessment of the need to establish a centralized information system for AMR surveillance and monitoring; m review (and develop) regulatory frameworks for appropriate management of antibiotic use in animals; m conduct a national system and situation analysis of antimicrobial use and AMR including consolidation and analysis of existing data and information, and stakeholder analysis; m based on the information from the system and situation analysis, conduct awareness-raising activities among key priority stakeholders (practitioners, farmers, regulators) on antimicrobial use and AMR; encourage implementation of IPC practices through the development of monitoring and evaluation m frameworks, including SOPs and monitoring tools, which will guide monitoring and evaluation of IPC programmes at health care facilities."
1285,"p4","Zoonotic Disease","LAO","lao people's democratic republic","Review existing (and previous) multisectoral coordination mechanisms, including memoranda of understanding and the national list of priority zoonotic diseases, to identify practical and appropriate ways to implement existing policies."
1286,"p5","Food Safety","LAO","lao people's democratic republic","Hold joint trainings on foodborne disease outbreak investigation between the Food and Drug Department, Bureau of Food and Drug Inspection and human health (Department of Communicable Disease Control, NCLE) sectors in order to reach a common understanding on specific data needed for action and division of roles and responsibilities between the actors. 1"
1287,"p6","Biosafety and Biosecurity","LAO","lao people's democratic republic","Establish a national licensing and regulating body for biosafety and biosecurity. In addition to facility management regulations, this body should create national standards and guidelines for packaging and transportation of samples (both domestically and internationally); training and certification; assessment and inspection; and administration of occupational health programmes for laboratorians."
1288,"p7","Immunization","LAO","lao people's democratic republic","Expand NIP management capacity at subnational levels, including increased efforts to close coverage gaps in routine immunization and surveillance for vaccine-preventable diseases and promotion of fixed site sessions complemented by appropriate outreach sessions."
1289,"d1","National Laboratory System","LAO","lao people's democratic republic","Strengthen collaboration between NCLE, Institut Pasteur du Laos, LOMWRU, WHO and other partners to rapidly respond to outbreaks and identify pathogens as quickly as possible by defining clear roles and responsibilities."
1290,"d2","Real Time Surveillance","LAO","lao people's democratic republic","Further develop a skilled workforce for surveillance and response across sectors (e.g. animal and human health) and administrative levels."
1291,"d3","Reporting","LAO","lao people's democratic republic","Empower the national IHR focal point functions, as defined in the IHR (2005): m develop provincial multilateral and bilateral arrangements for information sharing; m review routine reporting procedures within sectors and across sectors."
1292,"d4","Workforce Development","LAO","lao people's democratic republic","Enhance capacity development through an expanded FETP, especially at provincial level, and utilize FETP graduates to develop the public health workforce (e.g. rapid response team, surveillance officers) especially at district levels."
1293,"r1","Preparedness","LAO","lao people's democratic republic","Develop a national public health EOC handbook, as recommended by the WHO Framework for a Public Health Emergency Operations Centre, which consolidates all relevant documentation for emergency authorities: the concept of operations for public health emergency management and the public health components of multisectoral emergencies; the roles and responsibilities between government agencies; comprehensive risk assessments; plans; and procedures for emergency management functions."
1294,"r2","Emergency Response Operations","LAO","lao people's democratic republic","Identify an IMS structure to be used for public health emergencies, including terms of reference for each position and clear relationships between the Ministry of Health and involved government ministries and agencies."
1295,"r3","Linking Public Health and Security Authorities","LAO","lao people's democratic republic","Develop and finalize formal, documented agreements and processes for the coordination of ministries and agencies during emergency responses including, but not limited to, SOPs for: m detecting and identifying public health threats from information sources relevant to the early warning of public health threats, including from law enforcement and security sources; m conducting and tracking sector-specific response activities coordinated by the NCCDC, including forensic and legal investigations. 4"
1296,"r4","Medical Countermeasures and Personnel Deployment","LAO","lao people's democratic republic","Analyse examples of minimal to comprehensive national stockpile policies and contents prepared by both developing and developed nations."
1297,"r5","Risk Communication","LAO","lao people's democratic republic","Develop a multisectoral and multi-stakeholder strategy for risk communication and community engagement, with a shared work plan for health emergency preparedness and response that is regularly tested and used for routine activities."
1298,"poe","Points of Entry","LAO","lao people's democratic republic","Develop sustainable capacity for routine public health preparedness activities and response to multi-hazard public health emergencies at the point of entry through multisectoral communication, coordination and collaboration, as well as the development of competent human resources, SOPs and infrastructure."
1299,"ce","Chemical Emergencies","LAO","lao people's democratic republic","Conduct a national hazard inventory and relevant resource mapping as part of a national risk assessment and develop appropriate chemical event response plans as part of an integrated national all-hazards response plan (see Recommendations for priority action under Preparedness)."
1300,"re","Radiation Emergencies","LAO","lao people's democratic republic","Conduct a national hazard inventory and relevant resource mapping as part of a national risk assessment, and develop appropriate radiological emergency response plans as part of an integrated national all-hazards response plan (see Recommendations for priority action under Preparedness)."
1301,"p1","National legislation, Policy and Financing","LAO","lao people's democratic republic","Establish procedures, both short-term and longer term, when a response to a public health emergency is initiated including instant access to sufficient funding."
1302,"p2","IHR Coordination, Communication and Advocacy","LAO","lao people's democratic republic","Review, test and continually strengthen the functions of existing multisectoral communication, coordination and partnership mechanisms for public health emergency preparedness and response, including the management of large-scale disease outbreaks and public health emergencies."
1303,"p4","Zoonotic Disease","LAO","lao people's democratic republic","Establish a policy framework to address the shortage of qualified animal health workforce by: m developing a national plan to increase number of animal health workforce in government sector; m accelerating training of veterinary field epidemiologists for surveillance and outbreak response."
1304,"p5","Food Safety","LAO","lao people's democratic republic","Improve surveillance specificity and source identification in foodborne disease outbreaks through enhanced laboratory capacity and analytic epidemiology (focusing on staff training) to inform evidence- based response."
1305,"p6","Biosafety and Biosecurity","LAO","lao people's democratic republic","Conduct a national inventory of dangerous pathogens across all human and animal health laboratories, using a list of select agents specifically identified for Lao People s Democratic Republic, and update laboratory-specific risk assessments as appropriate following this inventory."
1306,"p7","Immunization","LAO","lao people's democratic republic","Conduct refresher and on-the-job training to health staff on vaccine management, interpersonal communication, adverse events following immunization and monitoring and evaluation as part of the NIP operational plan."
1307,"d1","National Laboratory System","LAO","lao people's democratic republic","Finalize and implement laboratory quality standards, including quality assurance and quality control at subnational level laboratories, and designate a national officer to coordinate quality control activities at all laboratory facilities."
1308,"d2","Real Time Surveillance","LAO","lao people's democratic republic","Strengthen coordination, communication and information sharing with stakeholders across sectors."
1309,"d3","Reporting","LAO","lao people's democratic republic","Enhance risk assessment of public health events of unknown origin, chemical events and radiation emergencies: m conduct simulation exercises to test the capacity for early detection, risk assessment and timely reporting of chemical and radiation events to WHO through the national IHR focal point."
1310,"d4","Workforce Development","LAO","lao people's democratic republic","Integrate multidisciplinary public health skills into existing and future health workforce development plans, including the National Work Plan for Emerging Infectious Diseases and Public Health Emergencies and the National Health Workforce Strategy 2016 2020."
1311,"r1","Preparedness","LAO","lao people's democratic republic","Complete the initiated comprehensive national risk assessment and map the resulting risks and available resources to inform subsequent planning processes."
1312,"r2","Emergency Response Operations","LAO","lao people's democratic republic","Complete EOC SOPs for response operations and daily functions (including activation criteria, event- based surveillance, data collection from multiple sources and analysis, conduct of risk assessments, dissemination of situation reports)."
1313,"r3","Linking Public Health and Security Authorities","LAO","lao people's democratic republic","Incorporate scenarios that involve intentional release of biological agents in exercises to test linkages between the public health and law enforcement/security sectors."
1314,"r4","Medical Countermeasures and Personnel Deployment","LAO","lao people's democratic republic","Create a national stockpile system to link to and access national and international stockpiles."
1315,"r5","Risk Communication","LAO","lao people's democratic republic","Sustain and strengthen human resources for risk communication, with basic capacity and skills to prepare for and respond to public health emergencies as recommended under APSED III. These capacities include using both traditional forms of communication as well as new media."
1316,"poe","Points of Entry","LAO","lao people's democratic republic","Develop and implement mechanisms to establish short-term compliance with IHR (2005) articles and legal instruments for long-term compliance (e.g. quarantine procedures for travellers and aircraft disinsection procedures)."
1317,"ce","Chemical Emergencies","LAO","lao people's democratic republic","Document sectoral roles and responsibilities for chemical regulation, event surveillance, reporting and response under the coordination of the NCCDC (see Linking public health and security authorities, Indicator R.3.1). Consider designating the national EOC as the focal point for data gathering, analysis, event reporting and response management of all national-level chemical events."
1318,"re","Radiation Emergencies","LAO","lao people's democratic republic","Document sectoral roles and responsibilities for regulation, radiological event surveillance, reporting and response under a national coordinating body (see Linking public health and security authorities, Indicator R.3.1). Consider designating the national EOC as the focal point for data gathering, data analysis, event reporting and response management of all national-level radiological emergencies."
1319,"p2","IHR Coordination, Communication and Advocacy","LAO","lao people's democratic republic","Advocate and strengthen sustainable investment in health security as an integral part of country actions towards universal health coverage and the Sustainable Development Goals (SDGs)."
1320,"p4","Zoonotic Disease","LAO","lao people's democratic republic","Develop and implement plans to conduct coordinated surveillance, and timely and systematic sharing of information among relevant sectors, for priority zoonotic diseases. 14 of IHR Core Capacities of the Lao People s Democratic Republic"
1321,"p5","Food Safety","LAO","lao people's democratic republic","Build trust in government actions on food safety management (through increased transparency and risk communication) to anticipate increasing public awareness of food safety issues."
1322,"p6","Biosafety and Biosecurity","LAO","lao people's democratic republic","Identify, train and accredit biosafety/biosecurity officers and security managers for all regulated human and animal health laboratory facilities throughout the country."
1323,"p7","Immunization","LAO","lao people's democratic republic","Ensure implementation of high-quality microplans for outreach sessions to hard-to-reach populations."
1324,"d1","National Laboratory System","LAO","lao people's democratic republic","Strengthen laboratory capacity for food poisoning and antimicrobial-resistant pathogens at central laboratories, including NCLE."
1325,"d2","Real Time Surveillance","LAO","lao people's democratic republic","Identify additional sources of health information for risk assessment, such as risk perception assessments, vaccine coverage, laboratory data and community-based reporting. 2"
1326,"d3","Reporting","LAO","lao people's democratic republic","Strengthen the timeliness of reporting to international authorities once an event is confirmed."
1327,"d4","Workforce Development","LAO","lao people's democratic republic","Ensure sustainability of the FETP/rapid response teams, including financial sustainability."
1328,"r1","Preparedness","LAO","lao people's democratic republic","Develop a risk-based national all-hazards response plan with annexes to address newly identified threats and IHR-specified hazards, incorporating (and updating/finalizing as necessary) existing disease-specific plans."
1329,"r2","Emergency Response Operations","LAO","lao people's democratic republic","Identify dedicated core staff to manage the EOC on a daily basis and serve in key management roles when the EOC is activated."
1330,"r3","Linking Public Health and Security Authorities","LAO","lao people's democratic republic","Consider expanding the use of the national Public Health EOC from information sharing only during responses to routine real-time information sharing between the public health and law enforcement/ security sectors."
1331,"r4","Medical Countermeasures and Personnel Deployment","LAO","lao people's democratic republic","Develop a plan to receive, assess and process foreign medical personnel and supplies for deployment during major public health emergencies."
1332,"r5","Risk Communication","LAO","lao people's democratic republic","Develop a system for rumour management and risk perception assessment, especially on the use of new media, including social media and mobile-based applications."
1333,"poe","Points of Entry","LAO","lao people's democratic republic","Work with stakeholders and partners to develop a dedicated space or facilities for screening and isolation of potentially contaminated/infected travellers, either on site or through liaison with local public health services, as well as facilities for assessment and quarantine of suspect travellers."
1334,"ce","Chemical Emergencies","LAO","lao people's democratic republic","Develop case management guidelines for relevant chemical threats within the country (see Emergency response operations, Indicator R.2.4)."
1335,"re","Radiation Emergencies","LAO","lao people's democratic republic","Develop case management guidelines for relevant radionuclear threats within the country (see Emergency response operations, Indicator R.2.4)."
1336,"p7","Immunization","LAO","lao people's democratic republic","Prioritize communication strategies in the NIP, including communicating with ethnic minorities."
1337,"d1","National Laboratory System","LAO","lao people's democratic republic","Establish regular coordination mechanisms between human and animal health laboratories using a One Health approach."
1338,"d3","Reporting","LAO","lao people's democratic republic","Ensure sufficient human resource capacity to carry out risk assessments for events of unknown origin, particularly nuclear and radiological events."
1339,"r2","Emergency Response Operations","LAO","lao people's democratic republic","Prepare a roster of surge staff to serve in IMS roles upon activation. 38 of IHR Core Capacities of the Lao People s Democratic Republic"
1340,"r5","Risk Communication","LAO","lao people's democratic republic","Work with partners to develop a mechanism to evaluate risk communication and community engagement approaches."
1341,"ce","Chemical Emergencies","LAO","lao people's democratic republic","Expand the capacity of laboratories (human, animal, environmental and food safety) to analyse priority chemical threats. Define the roles and responsibilities of laboratories assigned to conduct such chemical analyses and develop procedures for appropriate referral of samples to international laboratories as needed. 52 of IHR Core Capacities of the Lao People s Democratic Republic"
1342,"re","Radiation Emergencies","LAO","lao people's democratic republic","Establish a national training programme for basic radionuclear safety and security practices for hospitals (addressing clinical radiation sources) for clinical management of radiation exposure cases, for rapid response team activities in a radionuclear emergency, and for appropriate integration of law enforcement and security sector activities into radiation emergency response."
1343,"p7","Immunization","LAO","lao people's democratic republic","Consider planning a comprehensive EPI review in 2017 2018 in collaboration with WHO and the United Nations Children s Fund."
1344,"d1","National Laboratory System","LAO","lao people's democratic republic","Ensure sustainability of laboratory testing by securing reagents, supplies, key equipment and maintenance contracts."
1345,"d3","Reporting","LAO","lao people's democratic republic","Provide training in the use of the decision instrument (Annex 2 of IHR) to identify potential public health emergencies of international concern. 32 of IHR Core Capacities of the Lao People s Democratic Republic"
1346,"r2","Emergency Response Operations","LAO","lao people's democratic republic","Establish a formal multi-year training programme in IMS principles and concepts for core and surge staff with position-specific training (as defined in terms of reference), and a progressive exercise sequence to test EOC plans and procedures."
1347,"re","Radiation Emergencies","LAO","lao people's democratic republic","Expand analysis capacity across laboratory networks (human, animal, environmental and food safety) for priority radiological threats. Define the roles and responsibilities of laboratories assigned to conduct radioisotope analyses and develop procedures for appropriate referral of samples to international laboratories as needed. 54 of IHR Core Capacities of the Lao People s Democratic Republic"
1348,"r2","Emergency Response Operations","LAO","lao people's democratic republic","Conduct at least one table-top and one functional exercise per year to reinforce IMS personnel training, skills and EOC operations."
